updated 11/13/20,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,
,,,,,
,,,,,
,,,,,
CID,CRPName,Party,DistIDRunFor,FECCandID,
N00025603,"Abbott, William (Bill)",D,IN04,H2IN04101,
N00007665,"Abercrombie, Neil",D,HI01,H6HI01121,
N00027324,"Abner, Stacy",3,KY06,H4KY06122,
N00025789,"Abrams, Thomas D",L,NJ07,H2NJ12101,
N00026898,"Abshier, Thomas Lee",R,ORS2,S4OR00073,
N00024979,"Abu-Ghazalah, Maad",D,CA12,H2CA12158,
N00001143,"Ackerman, Gary",D,NY05,H4NY07011,
N00027398,"Acosta, Raul",R,COS1,S4CO00296,
N00026224,"Adam, Steven E",R,MA01,H4MA01034,
N00026726,"Adams, Celeste",L,TX31,H4TX31032,
N00026424,"Adams, John",R,SC04,H4SC04051,
N00026333,"Adams, Sam Francis",D,OR03,H4OR03077,
N00027335,"Adams, Warren",L,MI03,H4MI03185,
N00003028,"Aderholt, Robert B",R,AL04,H6AL04098,
N00013649,"Afran, Bruce Ira",R,NJ12,H4NJ12099,
N00026633,"Ajjan, George Charles",R,NJ08,H4NJ08063,
N00008133,"Akin, Kevin",3,CA44,H4CA44140,
N00009677,"Akin, Todd",R,MO02,H0MO02148,
N00026317,"Alben, Alex",D,WA08,H4WA08055,
N00026613,"Albright, Bradford Wayne",3,MD06,H4MD06167,
N00027357,"Alcantara, Jose David",3,NJ02,H4NJ02116,
N00008598,"Alciere, Tom",R,NHS1,S4NH00062,
N00027274,"Alderson, Jeremy Weir",D,NY29,H4NY29155,
N00026600,"Alexakis, Kostas",D,MD01,H4MD01085,
N00027019,"Alexander, Bob",D,MI08,H4MI08085,
N00025464,"Alexander, Rodney",R,LA05,H2LA05084,
N00027351,"Alger, Steve",3,MO07,H4MO07115,
N00027171,"Aljanich, Matthew Brian",R,CO03,H4CO03217,
N00000722,"Allen, Edward A (Rev)",D,NJ10,H8NJ14070,
N00027245,"Allen, Patsy A",3,MD03,H4MD03107,
N00000469,"Allen, Tom H",D,ME01,H6ME01157,
N00027405,"Allwine, Maria",3,MDS2,S4MD00244,
N00027132,"Altebaumer, James (Jim)",R,WY01,H4WY00154,
N00001855,"Altman, Sidney",D,MDS2,S0MD00218,
N00025083,"Alvarado, Felix",D,TX12,H2TX06095,
N00026955,"Amar, A D",R,NJ07,H4NJ07073,
