updated 11/13/20,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,
,,,,,
,,,,,
,,,,,
CID,CRPName,Party,DistIDRunFor,FECCandID,
N00005387,"Accardo, Nick J",R,LAS2,S0LA00220,
N00001143,"Ackerman, Gary",D,NY05,H4NY07011,
N00031910,"Acton, Jon",R,IN04,H0IN04212,
N00033019,"Adair, Clay",L,AZ03,H0AZ03446,
N00028688,"Adair, Robin",3,WA08,H0WA08095,
N00030923,"Adam, Leroy",D,FL17,H0FL17100,
N00027843,"Adams, Eddie",R,FL11,H6FL11175,
N00032854,"Adams, James Guy",L,MDS2,S0MD00390,
N00031485,"Adams, Jeff",3,IL01,H0IL01160,
N00032073,"Adams, John",D,AR02,H0AR02149,
N00032432,"Adams, John",R,OH15,H0OH15099,
N00031736,"Adams, Rhuedolph ""Rudy""",R,GA02,H0GA02225,
N00032805,"Adams, Ricky B",I,RI01,H0RI01123,
N00030926,"Adams, Sandy",R,FL24,H0FL24049,
N00031338,"Adcock, Dee",R,PA13,H0PA13080,
N00031742,"Adcook, Ann B",R,IN05,H0IN05144,
N00032652,"Aden, Doug",3,CO04,H0CO04148,
N00003028,"Aderholt, Robert B",R,AL04,H6AL04098,
N00000812,"Adler, John H",D,NJ03,H8NJ03156,
N00032905,"Adler, Ken",3,AR01,H0AR01182,
N00031252,"Agbemble, Bismark",D,PA01,H0PA01275,
N00032389,"Agoris, Demo",L,PA12,H0PA12165,
N00032316,"Agosta, Michael",R,NJ09,H0NJ00019,
N00029954,"Agrella, Christopher",L,CA32,H0CA32184,
N00030945,"Ahern, Eleanor C ""Ellie""",R,NV03,H0NV03017,
N00031831,"Akers, Paul",R,WAS2,S0WA00308,
N00009677,"Akin, Todd",R,MO02,H0MO02148,
N00008598,"Alciere, Tom",R,NHS1,S4NH00062,
N00032955,"Alessandrini, Patricia",3,NJ09,H0NJ09168,
N00032827,"Alexander, Joseph",R,MDS2,S0MD00341,
N00031817,"Alexander, Randy",R,ARS2,S0AR00143,
N00025464,"Alexander, Rodney",R,LA05,H2LA05084,
N00031407,"Algeo, Judith A",R,PA08,H0PA08106,
N00032811,"Alger, Michael G",I,RI02,H0RI02253,
N00030946,"Allegretti, Michael A",R,NY13,H0NY13066,
N00032629,"Allen, Charles",D,WAS2,S0WA00332,
N00031914,"Allen, Cheryl Denise",R,IN04,H0IN04253,
