updated 6/15/2021,,,,,,,,
,"This information is being made available to facilitate the sharing of the quality, improved data that the Center for Responsive Politics works hard to provide.   Should you find this information useful, please consider supporting the work of the Center with a donation:  http://opensecrets.org/donate/  Whether you use this information to provide relevant links to our web site, www.OpenSecrets.org , or to use CRP's APIs, available at www.OpenSecrets.org/resources/create/apis.php , please make sure to credit the Center for Responsive Politics and/or OpenSecrets.org.  And remember, Federal law prohibits the use of contributor information for the purpose of soliciting contributions or for any commercial purpose.",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,CID,CRPName,Party,DistIDRunFor,FECCandID,,,
,N00034296,"Aalders, Tim",R,UT03,H0UT03227,,,
,N00045799,"Aaloori, Bangar Reddy",R,TX22,H0TX22260,,,
,N00045903,"Aarons, Adam",D,FL21,H0FL21102,,,
,N00047777,"Abbey, Chad",L,TX36,H0TX36039,,,
,N00044856,"Abed, Sam",R,CA50,H0CA50129,,,
,N00046174,"Abenchuchan, Isaiah",D,FL05,H0FL05162,,,
,N00045499,"Abernathy, Kent",R,IN05,H0IN05268,,,
,N00036633,"Abraham, Ralph",R,LA05,H4LA05221,,,
,N00044796,"Abuabara, Rosey",D,TX23,H0TX23193,,,
,N00044020,"Abundis, Vic",D,MO06,H0MO06180,,,
,N00009825,"Acevedo-Vila, Anibal",3,PR00,H0PR01034,,,
,N00045749,"Ackerman, Patricia",D,NV02,H0NV02209,,,
,N00044512,"Acosta, Christian",R,FL21,H0FL21037,,,
,N00045033,"Acosta, Frank",R,MI11,H0MI11103,,,
,N00044479,"Adair, Stanley",R,ALS1,S0AL00248,,,
,N00047207,"Adalia, Zoilo",3,WY01,H0WY00152,,,
,N00035451,"Adams, Alma",D,NC12,H4NC12100,,,
,N00041915,"Adams, Elliott",D,KSS1,S0KS00190,,,
,N00044310,"Adams, Sam",L,FL06,H0FL06095,,,
,N00046227,"Adan, Leila Shukri",D,MN05,H0MN05244,,,
,N00046286,"Adcox, Anthony",R,TN05,H0TN05358,,,
,N00046590,"Adcox, Elijah",R,TN05,H0TN05366,,,
,N00003028,"Aderholt, Robert B",R,AL04,H6AL04098,,,
,N00045245,"Adkins, Amanda",R,KS03,H0KS03236,,,
,N00047442,"Adkins, Clifford",R,TNS2,S0TN00359,,,
,N00044992,"Adkins, Gary",R,VAS2,S0VA00096,,,
,N00047261,"Adkins, Jay",R,TN01,H0TN01183,,,
,N00046646,"Adler, Gary",R,FL05,H0FL05170,,,
,N00045795,"Adnan, Ahmad",R,TX17,H0TX17146,,,
,N00044883,"Afendoulis, Lynn",R,MI03,H0MI03290,,,
