Ticker,Sector,Industry,YFQuoteType
CCL,Consumer Cyclical,Travel Services,EQUITY
WBA,Healthcare,Pharmaceutical Retailers,EQUITY
HLN,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY
AAGIY,Financial Services,Insurance - Life,EQUITY
KUBTY,Industrials,Farm & Heavy Construction Machinery,EQUITY
BATRK,Communication Services,Entertainment,EQUITY
SAP,Technology,Software - Application,EQUITY
MELI,Consumer Cyclical,Internet Retail,EQUITY
HLIO,Industrials,Specialty Industrial Machinery,EQUITY
IFNNY,Technology,Semiconductors,EQUITY
THO,Consumer Cyclical,Recreational Vehicles,EQUITY
APTV,Consumer Cyclical,Auto Parts,EQUITY
HMN,Financial Services,Insurance - Property & Casualty,EQUITY
DAR,Consumer Defensive,Packaged Foods,EQUITY
SRPT,Healthcare,Biotechnology,EQUITY
VTR,Real Estate,REIT - Healthcare Facilities,EQUITY
SPOT,Communication Services,Internet Content & Information,EQUITY
SKT,Real Estate,REIT - Retail,EQUITY
CAG,Consumer Defensive,Packaged Foods,EQUITY
BGNE,Healthcare,Biotechnology,EQUITY
MKTX,Financial Services,Capital Markets,EQUITY
SR,Utilities,Utilities - Regulated Gas,EQUITY
HALO,Healthcare,Biotechnology,EQUITY
PARAA,Communication Services,Entertainment,EQUITY
SHO,Real Estate,REIT - Hotel & Motel,EQUITY
AAP,Consumer Cyclical,Specialty Retail,EQUITY
KHC,Consumer Defensive,Packaged Foods,EQUITY
URI,Industrials,Rental & Leasing Services,EQUITY
BELFB,Technology,Electronic Components,EQUITY
EVBG,Technology,Software - Application,EQUITY
INN,Real Estate,REIT - Hotel & Motel,EQUITY
CIEN,Technology,Communication Equipment,EQUITY
AVTR,Basic Materials,Specialty Chemicals,EQUITY
IIPR,Real Estate,REIT - Industrial,EQUITY
ROIC,Real Estate,REIT - Retail,EQUITY
LHX,Industrials,Aerospace & Defense,EQUITY
TEAM,Technology,Software - Application,EQUITY
RBA,Industrials,Specialty Business Services,EQUITY
EPR,Real Estate,REIT - Specialty,EQUITY
PECO,Real Estate,REIT - Retail,EQUITY
STX,Technology,Computer Hardware,EQUITY
AVB,Real Estate,REIT - Residential,EQUITY
INVH,Real Estate,REIT - Residential,EQUITY
DLTR,Consumer Defensive,Discount Stores,EQUITY
CADE,Financial Services,Banks - Regional,EQUITY
SLG,Real Estate,REIT - Office,EQUITY
RWT,Real Estate,REIT - Mortgage,EQUITY
PD,Technology,Software - Application,EQUITY
JAZZ,Healthcare,Biotechnology,EQUITY
UDR,Real Estate,REIT - Residential,EQUITY
RLAY,Healthcare,Biotechnology,EQUITY
AMCR,Consumer Cyclical,Packaging & Containers,EQUITY
KLIC,Technology,Semiconductor Equipment & Materials,EQUITY
ADC,Real Estate,REIT - Retail,EQUITY
PK,Real Estate,REIT - Hotel & Motel,EQUITY
KDP,Consumer Defensive,Beverages - Non-Alcoholic,EQUITY
STT,Financial Services,Asset Management,EQUITY
EXC,Utilities,Utilities - Regulated Electric,EQUITY
FERG,Industrials,Industrial Distribution,EQUITY
EIX,Utilities,Utilities - Regulated Electric,EQUITY
NXRT,Real Estate,REIT - Residential,EQUITY
IOT,Technology,Software - Infrastructure,EQUITY
EQIX,Real Estate,REIT - Specialty,EQUITY
ENTA,Healthcare,Biotechnology,EQUITY
CBU,Financial Services,Banks - Regional,EQUITY
HEI.A,Not Found,Not Found,EQUITY
HST,Real Estate,REIT - Hotel & Motel,EQUITY
FCPT,Real Estate,REIT - Retail,EQUITY
EPRT,Real Estate,REIT - Diversified,EQUITY
DRH,Real Estate,REIT - Hotel & Motel,EQUITY
WPM,Basic Materials,Gold,EQUITY
IRT,Real Estate,REIT - Residential,EQUITY
PHIN,Consumer Cyclical,Auto Parts,EQUITY
PSA,Real Estate,REIT - Industrial,EQUITY
EPAM,Technology,Information Technology Services,EQUITY
TRIP,Consumer Cyclical,Travel Services,EQUITY
CTRE,Real Estate,REIT - Healthcare Facilities,EQUITY
KRG,Real Estate,REIT - Retail,EQUITY
CNC,Healthcare,Healthcare Plans,EQUITY
UBA,Not Found,Not Found,Not Found
PEAK,Real Estate,REIT - Healthcare Facilities,EQUITY
PLTK,Communication Services,Electronic Gaming & Multimedia,EQUITY
RLJ,Real Estate,REIT - Hotel & Motel,EQUITY
CLVT,Technology,Information Technology Services,EQUITY
GTY,Real Estate,REIT - Retail,EQUITY
SGH,Technology,Semiconductors,EQUITY
LVMUY,Consumer Cyclical,Luxury Goods,EQUITY
BEPC,Utilities,Utilities - Renewable,EQUITY
ADM,Consumer Defensive,Farm Products,EQUITY
YUMC,Consumer Cyclical,Restaurants,EQUITY
LBTYA,Communication Services,Telecom Services,EQUITY
EQR,Real Estate,REIT - Residential,EQUITY
JBGS,Real Estate,REIT - Office,EQUITY
TNDM,Healthcare,Medical Devices,EQUITY
TFX,Healthcare,Medical Instruments & Supplies,EQUITY
UE,Real Estate,REIT - Retail,EQUITY
OGS,Utilities,Utilities - Regulated Gas,EQUITY
PEB,Real Estate,REIT - Hotel & Motel,EQUITY
AYX,Technology,Software - Application,EQUITY
SBAC,Real Estate,REIT - Specialty,EQUITY
AMCX,Communication Services,Entertainment,EQUITY
KRC,Real Estate,REIT - Office,EQUITY
MAA,Real Estate,REIT - Residential,EQUITY
BFS,Real Estate,REIT - Retail,EQUITY
EXR,Real Estate,REIT - Industrial,EQUITY
ALEX,Real Estate,REIT - Retail,EQUITY
WELL,Real Estate,REIT - Healthcare Facilities,EQUITY
BXP,Real Estate,REIT - Office,EQUITY
LSI,Not Found,Not Found,Not Found
LBTYK,Communication Services,Telecom Services,EQUITY
MOH,Healthcare,Healthcare Plans,EQUITY
SBGI,Communication Services,Entertainment,EQUITY
HHC,Not Found,Not Found,Not Found
ESS,Real Estate,REIT - Residential,EQUITY
QDEL,Healthcare,Medical Devices,EQUITY
CHPT,Consumer Cyclical,Specialty Retail,EQUITY
ICHR,Technology,Semiconductor Equipment & Materials,EQUITY
LUMN,Communication Services,Telecom Services,EQUITY
SOBKY,Communication Services,Telecom Services,EQUITY
TMICY,Technology,Software - Infrastructure,EQUITY
OVCHY,Financial Services,Banks - Regional,EQUITY
LSRCY,Technology,Semiconductor Equipment & Materials,EQUITY
AKZOY,Basic Materials,Specialty Chemicals,EQUITY
SKFRY,Industrials,Tools & Accessories,EQUITY
BURBY,Consumer Cyclical,Luxury Goods,EQUITY
SUHJY,Real Estate,Real Estate - Development,EQUITY
AVVIY,Financial Services,Insurance - Diversified,EQUITY
HEINY,Consumer Defensive,Beverages - Brewers,EQUITY
ZURVY,Financial Services,Insurance - Diversified,EQUITY
ARGX,Healthcare,Biotechnology,EQUITY
SCMWY,Communication Services,Telecom Services,EQUITY
EDPFY,Utilities,Utilities - Diversified,EQUITY
TKOMY,Financial Services,Insurance - Property & Casualty,EQUITY
SMFKY,Consumer Cyclical,Packaging & Containers,EQUITY
VWAPY,Consumer Cyclical,Auto Manufacturers,EQUITY
VLVLY,Industrials,Farm & Heavy Construction Machinery,EQUITY
GNGBY,Healthcare,Medical Devices,EQUITY
SINGY,Industrials,Airlines,EQUITY
MTUAY,Industrials,Aerospace & Defense,EQUITY
TLGPY,Communication Services,Telecom Services,EQUITY
MKKGY,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY
NGG,Utilities,Utilities - Regulated Electric,EQUITY
PANDY,Consumer Cyclical,Luxury Goods,EQUITY
FRCOY,Consumer Cyclical,Apparel Retail,EQUITY
SOMMY,Basic Materials,Chemicals,EQUITY
YAMHY,Not Found,Not Found,Not Found
RNMBY,Industrials,Aerospace & Defense,EQUITY
QABSY,Industrials,Airlines,EQUITY
BVVBY,Industrials,Consulting Services,EQUITY
NDEKY,Basic Materials,Specialty Chemicals,EQUITY
UL,Consumer Defensive,Household & Personal Products,EQUITY
MUFG,Financial Services,Banks - Diversified,EQUITY
CRARY,Financial Services,Banks - Regional,EQUITY
BBVA,Financial Services,Banks - Diversified,EQUITY
KSRYY,Consumer Defensive,Household & Personal Products,EQUITY
KDDIY,Communication Services,Telecom Services,EQUITY
KGSPY,Industrials,Building Products & Equipment,EQUITY
DNPLY,Industrials,Specialty Business Services,EQUITY
MQBKY,Financial Services,Capital Markets,EQUITY
SKHSY,Consumer Cyclical,Residential Construction,EQUITY
SPXCY,Financial Services,Financial Data & Stock Exchanges,EQUITY
ABBNY,Industrials,Electrical Equipment & Parts,EQUITY
CLLNY,Real Estate,Real Estate Services,EQUITY
AEG,Financial Services,Insurance - Diversified,EQUITY
RTO,Industrials,Specialty Business Services,EQUITY
HOCPY,Healthcare,Medical Instruments & Supplies,EQUITY
DFKCY,Industrials,Specialty Industrial Machinery,EQUITY
DNNGY,Utilities,Utilities - Renewable,EQUITY
OMRNY,Technology,Electronic Components,EQUITY
SUTNY,Financial Services,Banks - Regional,EQUITY
CMSQY,Financial Services,Capital Markets,EQUITY
DNBBY,Financial Services,Banks - Regional,EQUITY
ARKAY,Basic Materials,Specialty Chemicals,EQUITY
ATEYY,Technology,Semiconductor Equipment & Materials,EQUITY
SHECY,Basic Materials,Chemicals,EQUITY
UPMMY,Basic Materials,Paper & Paper Products,EQUITY
SOAGY,Healthcare,Medical Instruments & Supplies,EQUITY
TRYIY,Consumer Cyclical,Textile Manufacturing,EQUITY
SMMNY,Healthcare,Medical Devices,EQUITY
AXAHY,Financial Services,Insurance - Diversified,EQUITY
SMTOY,Consumer Cyclical,Auto Parts,EQUITY
CGEMY,Technology,Information Technology Services,EQUITY
BNTGY,Basic Materials,Specialty Chemicals,EQUITY
YASKY,Industrials,Electrical Equipment & Parts,EQUITY
CLPBY,Healthcare,Medical Instruments & Supplies,EQUITY
UMICY,Industrials,Pollution & Treatment Controls,EQUITY
NCBDY,Consumer Cyclical,Leisure,EQUITY
DWAHY,Real Estate,Real Estate - Development,EQUITY
BRDCY,Consumer Cyclical,Auto Parts,EQUITY
TLPFY,Industrials,Specialty Business Services,EQUITY
PROSY,Communication Services,Internet Content & Information,EQUITY
PRYMY,Industrials,Electrical Equipment & Parts,EQUITY
LYG,Financial Services,Banks - Regional,EQUITY
SWDBY,Financial Services,Banks - Regional,EQUITY
CZMWY,Healthcare,Medical Instruments & Supplies,EQUITY
NTES,Communication Services,Electronic Gaming & Multimedia,EQUITY
KHNGY,Industrials,Integrated Freight & Logistics,EQUITY
SONVY,Healthcare,Medical Devices,EQUITY
MGDDY,Not Found,Not Found,EQUITY
SYIEY,Basic Materials,Specialty Chemicals,EQUITY
BDRFY,Consumer Defensive,Household & Personal Products,EQUITY
BMRRY,Consumer Defensive,Discount Stores,EQUITY
IBDRY,Utilities,Utilities - Diversified,EQUITY
FMS,Healthcare,Medical Care Facilities,EQUITY
TTNDY,Industrials,Tools & Accessories,EQUITY
TOELY,Technology,Semiconductor Equipment & Materials,EQUITY
WPP,Communication Services,Advertising Agencies,EQUITY
ALLE,Industrials,Security & Protection Services,EQUITY
DSCSY,Technology,Semiconductor Equipment & Materials,EQUITY
IDEXY,Consumer Cyclical,Apparel Retail,EQUITY
DRPRY,Consumer Cyclical,Auto Manufacturers,EQUITY
HSQVY,Industrials,Tools & Accessories,EQUITY
DLICY,Financial Services,Insurance - Life,EQUITY
MSSMY,Industrials,Tools & Accessories,EQUITY
CSLLY,Healthcare,Biotechnology,EQUITY
KNBWY,Consumer Defensive,Beverages - Brewers,EQUITY
UOVEY,Financial Services,Banks - Regional,EQUITY
HMC,Consumer Cyclical,Auto Manufacturers,EQUITY
KGFHY,Consumer Cyclical,Home Improvement Retail,EQUITY
KRYAY,Consumer Defensive,Packaged Foods,EQUITY
HVRRY,Financial Services,Insurance - Reinsurance,EQUITY
ZLNDY,Consumer Cyclical,Internet Retail,EQUITY
SIEGY,Industrials,Specialty Industrial Machinery,EQUITY
JRONY,Consumer Defensive,Food Distribution,EQUITY
SMCAY,Industrials,Specialty Industrial Machinery,EQUITY
NSANY,Consumer Cyclical,Auto Manufacturers,EQUITY
SXYAY,Basic Materials,Specialty Chemicals,EQUITY
ENLAY,Utilities,Utilities - Diversified,EQUITY
DNTUY,Communication Services,Advertising Agencies,EQUITY
FUJIY,Industrials,Conglomerates,EQUITY
MDIBY,Financial Services,Banks - Regional,EQUITY
DB,Financial Services,Banks - Regional,EQUITY
SKHHY,Healthcare,Diagnostics & Research,EQUITY
GASNY,Utilities,Utilities - Regulated Gas,EQUITY
TMSNY,Technology,Software - Application,EQUITY
GBERY,Industrials,Building Products & Equipment,EQUITY
ERIC,Technology,Communication Equipment,EQUITY
OTSKY,Healthcare,Drug Manufacturers - General,EQUITY
SPKKY,Communication Services,Telecom Services,EQUITY
JAPAY,Consumer Defensive,Tobacco,EQUITY
SE,Consumer Cyclical,Internet Retail,EQUITY
FSUGY,Basic Materials,Other Industrial Metals & Mining,EQUITY
NABZY,Financial Services,Banks - Diversified,EQUITY
DKILY,Industrials,Building Products & Equipment,EQUITY
EADSY,Industrials,Aerospace & Defense,EQUITY
SNN,Healthcare,Medical Devices,EQUITY
ESLOY,Healthcare,Medical Instruments & Supplies,EQUITY
NMR,Financial Services,Capital Markets,EQUITY
UUGRY,Utilities,Utilities - Regulated Water,EQUITY
SCGLY,Financial Services,Banks - Regional,EQUITY
CMWAY,Financial Services,Banks - Diversified,EQUITY
MURGY,Financial Services,Insurance - Reinsurance,EQUITY
DSNKY,Healthcare,Drug Manufacturers - General,EQUITY
BNPQY,Financial Services,Banks - Regional,EQUITY
NTDOY,Communication Services,Electronic Gaming & Multimedia,EQUITY
ALC,Healthcare,Medical Instruments & Supplies,EQUITY
BAYRY,Healthcare,Drug Manufacturers - General,EQUITY
AONNY,Consumer Cyclical,Department Stores,EQUITY
CRH,Basic Materials,Building Materials,EQUITY
HDELY,Basic Materials,Building Materials,EQUITY
MZDAY,Consumer Cyclical,Auto Manufacturers,EQUITY
SAXPY,Financial Services,Insurance - Diversified,EQUITY
OCDDY,Consumer Defensive,Grocery Stores,EQUITY
JSAIY,Consumer Defensive,Grocery Stores,EQUITY
CAJPY,Technology,Computer Hardware,EQUITY
ASHTY,Industrials,Rental & Leasing Services,EQUITY
BTI,Consumer Defensive,Tobacco,EQUITY
AMADY,Consumer Cyclical,Travel Services,EQUITY
TRUMY,Healthcare,Medical Instruments & Supplies,EQUITY
BXBLY,Industrials,Specialty Business Services,EQUITY
JTKWY,Consumer Cyclical,Internet Retail,EQUITY
AHEXY,Industrials,Staffing & Employment Services,EQUITY
BCS,Financial Services,Banks - Diversified,EQUITY
OLCLY,Consumer Cyclical,Leisure,EQUITY
DQJCY,Consumer Defensive,Discount Stores,EQUITY
TEZNY,Utilities,Utilities - Regulated Electric,EQUITY
HCMLY,Basic Materials,Building Materials,EQUITY
JSGRY,Industrials,Building Products & Equipment,EQUITY
ALPMY,Healthcare,Drug Manufacturers - General,EQUITY
ADRNY,Consumer Defensive,Grocery Stores,EQUITY
MKTAY,Industrials,Tools & Accessories,EQUITY
CCOEY,Communication Services,Electronic Gaming & Multimedia,EQUITY
HSBC,Financial Services,Banks - Diversified,EQUITY
SDVKY,Industrials,Specialty Industrial Machinery,EQUITY
YARIY,Basic Materials,Agricultural Inputs,EQUITY
FJTSY,Technology,Information Technology Services,EQUITY
ICL,Basic Materials,Agricultural Inputs,EQUITY
HXGBY,Technology,Scientific & Technical Instruments,EQUITY
OPHLY,Healthcare,Drug Manufacturers - General,EQUITY
SNY,Healthcare,Drug Manufacturers - General,EQUITY
SFTBY,Communication Services,Telecom Services,EQUITY
TOTDY,Industrials,Building Products & Equipment,EQUITY
RPT,Not Found,Not Found,Not Found
HESAY,Consumer Cyclical,Luxury Goods,EQUITY
AZN,Healthcare,Drug Manufacturers - General,EQUITY
RHHBY,Healthcare,Drug Manufacturers - General,EQUITY
HTHIY,Industrials,Conglomerates,EQUITY
KMTUY,Industrials,Farm & Heavy Construction Machinery,EQUITY
DTEGY,Communication Services,Telecom Services,EQUITY
GVDNY,Basic Materials,Specialty Chemicals,EQUITY
RIO,Basic Materials,Other Industrial Metals & Mining,EQUITY
SVNLY,Financial Services,Banks - Diversified,EQUITY
MTSFY,Real Estate,Real Estate - Diversified,EQUITY
JHX,Basic Materials,Building Materials,EQUITY
LGRDY,Industrials,Electrical Equipment & Parts,EQUITY
BDNNY,Basic Materials,Other Industrial Metals & Mining,EQUITY
AAVMY,Financial Services,Banks - Diversified,EQUITY
NOK,Technology,Communication Equipment,EQUITY
WJRYY,Industrials,Railroads,EQUITY
DNZOY,Consumer Cyclical,Auto Parts,EQUITY
MIELY,Industrials,Electrical Equipment & Parts,EQUITY
NRILY,Technology,Information Technology Services,EQUITY
MRAAY,Technology,Electronic Components,EQUITY
SWRAY,Industrials,Conglomerates,EQUITY
SSMXY,Healthcare,Medical Instruments & Supplies,EQUITY
IFJPY,Communication Services,Publishing,EQUITY
ISUZY,Consumer Cyclical,Auto Manufacturers,EQUITY
SKLTY,Communication Services,Internet Content & Information,EQUITY
STBFY,Consumer Defensive,Beverages - Brewers,EQUITY
BTLCY,Real Estate,REIT - Diversified,EQUITY
KNRRY,Consumer Cyclical,Auto Parts,EQUITY
EPOKY,Industrials,Farm & Heavy Construction Machinery,EQUITY
VWAGY,Consumer Cyclical,Auto Manufacturers,EQUITY
ANYYY,Industrials,Airports & Air Services,EQUITY
CJPRY,Industrials,Railroads,EQUITY
CODYY,Industrials,Building Products & Equipment,EQUITY
VCISY,Industrials,Engineering & Construction,EQUITY
NCMGY,Not Found,Not Found,Not Found
KKPNY,Communication Services,Telecom Services,EQUITY
NTTYY,Communication Services,Telecom Services,EQUITY
UCBJY,Healthcare,Biotechnology,EQUITY
OLYMY,Healthcare,Medical Instruments & Supplies,EQUITY
IHG,Consumer Cyclical,Lodging,EQUITY
HKXCY,Financial Services,Financial Data & Stock Exchanges,EQUITY
STM,Technology,Semiconductors,EQUITY
MFG,Financial Services,Banks - Regional,EQUITY
RELX,Industrials,Specialty Business Services,EQUITY
SALRY,Consumer Defensive,Farm Products,EQUITY
SVNDY,Consumer Defensive,Grocery Stores,EQUITY
FRRVY,Not Found,Not Found,Not Found
BAESY,Industrials,Aerospace & Defense,EQUITY
NRDBY,Financial Services,Banks - Regional,EQUITY
DBOEY,Financial Services,Financial Data & Stock Exchanges,EQUITY
QBIEY,Financial Services,Insurance - Property & Casualty,EQUITY
PUBGY,Communication Services,Advertising Agencies,EQUITY
BUD,Consumer Defensive,Beverages - Brewers,EQUITY
TEF,Communication Services,Telecom Services,EQUITY
SAFRY,Industrials,Aerospace & Defense,EQUITY
UBS,Financial Services,Banks - Diversified,EQUITY
ANZGY,Financial Services,Banks - Diversified,EQUITY
DHLGY,Industrials,Integrated Freight & Logistics,EQUITY
IMBBY,Consumer Defensive,Tobacco,EQUITY
VEOEY,Industrials,Waste Management,EQUITY
AJINY,Consumer Defensive,Packaged Foods,EQUITY
MSADY,Financial Services,Insurance - Property & Casualty,EQUITY
CRZBY,Financial Services,Banks - Regional,EQUITY
FBP,Financial Services,Banks - Regional,EQUITY
ING,Financial Services,Banks - Diversified,EQUITY
KIM,Real Estate,REIT - Retail,EQUITY
LOGI,Technology,Computer Hardware,EQUITY
SGSOY,Industrials,Consulting Services,EQUITY
ALIZY,Financial Services,Insurance - Diversified,EQUITY
CHEOY,Healthcare,Medical Devices,EQUITY
ISNPY,Financial Services,Banks - Regional,EQUITY
MSLOY,Industrials,Marine Shipping,EQUITY
MBGYY,Consumer Cyclical,Auto Manufacturers,EQUITY
SZKMY,Consumer Cyclical,Auto Manufacturers,EQUITY
EBKDY,Financial Services,Banks - Regional,EQUITY
TM,Consumer Cyclical,Auto Manufacturers,EQUITY
NINOY,Consumer Cyclical,Leisure,EQUITY
ITTOY,Technology,Information Technology Services,EQUITY
MTHRY,Healthcare,Health Information Services,EQUITY
ENGIY,Utilities,Utilities - Diversified,EQUITY
RANJY,Industrials,Staffing & Employment Services,EQUITY
KBCSY,Financial Services,Banks - Regional,EQUITY
AMKBY,Industrials,Marine Shipping,EQUITY
NNGRY,Financial Services,Insurance - Diversified,EQUITY
NWG,Financial Services,Banks - Regional,EQUITY
PUK,Financial Services,Insurance - Life,EQUITY
AHKSY,Basic Materials,Chemicals,EQUITY
AIQUY,Basic Materials,Specialty Chemicals,EQUITY
ADDYY,Consumer Cyclical,Footwear & Accessories,EQUITY
NICE,Technology,Software - Application,EQUITY
VACNY,Industrials,Specialty Industrial Machinery,EQUITY
MHGVY,Consumer Defensive,Farm Products,EQUITY
SSREY,Financial Services,Insurance - Reinsurance,EQUITY
SAN,Financial Services,Banks - Diversified,EQUITY
NEXOY,Communication Services,Electronic Gaming & Multimedia,EQUITY
TTDKY,Technology,Electronic Components,EQUITY
SMFG,Financial Services,Banks - Diversified,EQUITY
SMNEY,Industrials,Specialty Industrial Machinery,EQUITY
DANOY,Consumer Defensive,Packaged Foods,EQUITY
WRDLY,Technology,Software - Infrastructure,EQUITY
NJDCY,Industrials,Specialty Industrial Machinery,EQUITY
TKAMY,Industrials,Metal Fabrication,EQUITY
ALFVY,Industrials,Specialty Industrial Machinery,EQUITY
SSEZY,Utilities,Utilities - Diversified,EQUITY
TCEHY,Communication Services,Internet Content & Information,EQUITY
CTSH,Technology,Information Technology Services,EQUITY
PAYX,Industrials,Staffing & Employment Services,EQUITY
MSI,Technology,Communication Equipment,EQUITY
SNV,Financial Services,Banks - Regional,EQUITY
COF,Financial Services,Credit Services,EQUITY
BROS,Consumer Cyclical,Restaurants,EQUITY
FDX,Industrials,Integrated Freight & Logistics,EQUITY
OLPX,Consumer Cyclical,Specialty Retail,EQUITY
LCID,Consumer Cyclical,Auto Manufacturers,EQUITY
QS,Consumer Cyclical,Auto Parts,EQUITY
DISH,Not Found,Not Found,Not Found
ATUS,Communication Services,Telecom Services,EQUITY
VAL,Energy,Oil & Gas Equipment & Services,EQUITY
SRE$A,Not Found,Not Found,Not Found
SNPS,Technology,Software - Infrastructure,EQUITY
HUBS,Technology,Software - Application,EQUITY
BIDU,Communication Services,Internet Content & Information,EQUITY
FTV,Technology,Scientific & Technical Instruments,EQUITY
ARGO,Not Found,Not Found,Not Found
GPN,Industrials,Specialty Business Services,EQUITY
SIRI,Communication Services,Entertainment,EQUITY
PTON,Consumer Cyclical,Leisure,EQUITY
GLD,Not Found,Not Found,ETF
SIRE,Not Found,Not Found,NONE
FHN,Financial Services,Banks - Regional,EQUITY
AGR,Utilities,Utilities - Regulated Electric,EQUITY
TRU,Industrials,Consulting Services,EQUITY
CTAS,Industrials,Specialty Business Services,EQUITY
AWK,Utilities,Utilities - Regulated Water,EQUITY
AEP,Utilities,Utilities - Regulated Electric,EQUITY
SON,Consumer Cyclical,Packaging & Containers,EQUITY
NNN,Real Estate,REIT - Retail,EQUITY
IPG,Communication Services,Advertising Agencies,EQUITY
DECK,Consumer Cyclical,Footwear & Accessories,EQUITY
CINF,Financial Services,Insurance - Property & Casualty,EQUITY
BCE,Communication Services,Telecom Services,EQUITY
USPH,Healthcare,Medical Care Facilities,EQUITY
CEG,Utilities,Utilities - Renewable,EQUITY
KEYS,Technology,Scientific & Technical Instruments,EQUITY
LNG,Energy,Oil & Gas Midstream,EQUITY
TDG,Industrials,Aerospace & Defense,EQUITY
ABB,Not Found,Not Found,NONE
AQUA,Not Found,Not Found,NONE
IQV,Healthcare,Diagnostics & Research,EQUITY
ETSY,Consumer Cyclical,Internet Retail,EQUITY
UI,Technology,Communication Equipment,EQUITY
MDB,Technology,Software - Infrastructure,EQUITY
TTD,Technology,Software - Application,EQUITY
PINS,Communication Services,Internet Content & Information,EQUITY
SNAP,Communication Services,Internet Content & Information,EQUITY
CCCS,Technology,Software - Infrastructure,EQUITY
VFC,Consumer Cyclical,Apparel Manufacturing,EQUITY
LPLA,Financial Services,Capital Markets,EQUITY
AJG,Financial Services,Insurance Brokers,EQUITY
FQAL,Not Found,Not Found,ETF
IVV,Not Found,Not Found,ETF
CCK,Consumer Cyclical,Packaging & Containers,EQUITY
LGI,Financial Services,Asset Management,EQUITY
SNDR,Industrials,Trucking,EQUITY
FIMKX,Not Found,Not Found,MUTUALFUND
FDN,Not Found,Not Found,ETF
FCPIX,Not Found,Not Found,MUTUALFUND
RTH,Not Found,Not Found,ETF
VSH,Technology,Semiconductors,EQUITY
DGRS,Not Found,Not Found,ETF
SBIO,Not Found,Not Found,ETF
BRKR,Healthcare,Medical Devices,EQUITY
JHMM,Not Found,Not Found,ETF
AVNT,Basic Materials,Specialty Chemicals,EQUITY
MRVL,Technology,Semiconductors,EQUITY
PEG,Utilities,Utilities - Regulated Electric,EQUITY
BHF,Financial Services,Insurance - Life,EQUITY
MRO,Energy,Oil & Gas E&P,EQUITY
UA,Consumer Cyclical,Apparel Manufacturing,EQUITY
IWD,Not Found,Not Found,ETF
RSP,Not Found,Not Found,ETF
IYY,Not Found,Not Found,ETF
WFAFY,Consumer Cyclical,Home Improvement Retail,EQUITY
CARG,Consumer Cyclical,Auto & Truck Dealerships,EQUITY
GTLB,Technology,Software - Infrastructure,EQUITY
APO,Financial Services,Asset Management,EQUITY
SYF,Financial Services,Credit Services,EQUITY
ZS,Technology,Software - Infrastructure,EQUITY
NTRA,Healthcare,Diagnostics & Research,EQUITY
COLB,Financial Services,Banks - Regional,EQUITY
NFG,Energy,Oil & Gas Integrated,EQUITY
INSP,Healthcare,Medical Devices,EQUITY
OUT,Real Estate,REIT - Specialty,EQUITY
AIG,Financial Services,Insurance - Diversified,EQUITY
CWK,Real Estate,Real Estate Services,EQUITY
OPEN,Real Estate,Real Estate Services,EQUITY
WY,Real Estate,REIT - Specialty,EQUITY
GM,Consumer Cyclical,Auto Manufacturers,EQUITY
LPSN,Technology,Software - Application,EQUITY
QTWO,Technology,Software - Application,EQUITY
NYCB,Financial Services,Banks - Regional,EQUITY
UGI,Utilities,Utilities - Regulated Gas,EQUITY
NOV,Energy,Oil & Gas Equipment & Services,EQUITY
EDIT,Healthcare,Biotechnology,EQUITY
BILL,Technology,Software - Application,EQUITY
FOLD,Healthcare,Biotechnology,EQUITY
MDGL,Healthcare,Biotechnology,EQUITY
ESRT,Real Estate,REIT - Diversified,EQUITY
WBS,Financial Services,Banks - Regional,EQUITY
KRTX,Healthcare,Biotechnology,EQUITY
AXS,Financial Services,Insurance - Specialty,EQUITY
YOU,Technology,Software - Application,EQUITY
ROKU,Communication Services,Entertainment,EQUITY
SBRA,Real Estate,REIT - Healthcare Facilities,EQUITY
EWBC,Financial Services,Banks - Regional,EQUITY
NEM,Basic Materials,Gold,EQUITY
MRVI,Healthcare,Biotechnology,EQUITY
AAT,Real Estate,REIT - Diversified,EQUITY
RNG,Technology,Software - Application,EQUITY
VNO,Real Estate,REIT - Office,EQUITY
RITM,Real Estate,REIT - Mortgage,EQUITY
DLR,Real Estate,REIT - Specialty,EQUITY
NTNX,Technology,Software - Infrastructure,EQUITY
TEX,Industrials,Farm & Heavy Construction Machinery,EQUITY
PLUG,Industrials,Electrical Equipment & Parts,EQUITY
MRTX,Not Found,Not Found,Not Found
FCNCA,Financial Services,Banks - Regional,EQUITY
TAP,Consumer Defensive,Beverages - Brewers,EQUITY
RGA,Financial Services,Insurance - Reinsurance,EQUITY
ARRY,Technology,Solar,EQUITY
HUN,Basic Materials,Chemicals,EQUITY
VAC,Consumer Cyclical,Resorts & Casinos,EQUITY
MLKN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",EQUITY
LC,Financial Services,Credit Services,EQUITY
CSGP,Real Estate,Real Estate Services,EQUITY
FLO,Consumer Defensive,Packaged Foods,EQUITY
UAL,Industrials,Airlines,EQUITY
AKR,Real Estate,REIT - Retail,EQUITY
AGNC,Real Estate,REIT - Mortgage,EQUITY
CONN,Consumer Cyclical,Specialty Retail,EQUITY
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY
