Ticker,Sector,Industry,YFQuoteType
AMEH,Healthcare,Medical Care Facilities,EQUITY
BA,Industrials,Aerospace & Defense,EQUITY
LOPE,Consumer Defensive,Education & Training Services,EQUITY
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,EQUITY
HSY,Consumer Defensive,Confectioners,EQUITY
BMY,Healthcare,Drug Manufacturers - General,EQUITY
CL,Consumer Defensive,Household & Personal Products,EQUITY
MAG,Basic Materials,Silver,EQUITY
BP,Energy,Oil & Gas Integrated,EQUITY
SFM,Consumer Defensive,Grocery Stores,EQUITY
FRPT,Consumer Defensive,Packaged Foods,EQUITY
ELF,Consumer Defensive,Household & Personal Products,EQUITY
ETN,Industrials,Specialty Industrial Machinery,EQUITY
CYBR,Technology,Software - Infrastructure,EQUITY
SPXC,Industrials,Building Products & Equipment,EQUITY
GS,Financial Services,Capital Markets,EQUITY
BMI,Technology,Scientific & Technical Instruments,EQUITY
OLLI,Consumer Defensive,Discount Stores,EQUITY
AXON,Industrials,Aerospace & Defense,EQUITY
DGX,Healthcare,Diagnostics & Research,EQUITY
UNP,Industrials,Railroads,EQUITY
SLF,Financial Services,Insurance - Diversified,EQUITY
LLY,Healthcare,Drug Manufacturers - General,EQUITY
ORCL,Technology,Software - Infrastructure,EQUITY
NVDA,Technology,Semiconductors,EQUITY
S,Technology,Software - Infrastructure,EQUITY
EXAS,Healthcare,Diagnostics & Research,EQUITY
ILMN,Healthcare,Diagnostics & Research,EQUITY
BX,Financial Services,Asset Management,EQUITY
XOM,Energy,Oil & Gas Integrated,EQUITY
VUZI,Technology,Consumer Electronics,EQUITY
DELL,Technology,Computer Hardware,EQUITY
TFC,Financial Services,Banks - Regional,EQUITY
DVN,Energy,Oil & Gas E&P,EQUITY
NOC,Industrials,Aerospace & Defense,EQUITY
PYPL,Financial Services,Credit Services,EQUITY
HRL,Consumer Defensive,Packaged Foods,EQUITY
JKHY,Technology,Information Technology Services,EQUITY
AMT,Real Estate,REIT - Specialty,EQUITY
ROP,Technology,Software - Application,EQUITY
PFE,Healthcare,Drug Manufacturers - General,EQUITY
SHW,Basic Materials,Specialty Chemicals,EQUITY
DG,Consumer Defensive,Discount Stores,EQUITY
CCI,Real Estate,REIT - Specialty,EQUITY
WST,Healthcare,Medical Instruments & Supplies,EQUITY
TSCO,Consumer Cyclical,Specialty Retail,EQUITY
BBY,Consumer Cyclical,Specialty Retail,EQUITY
TMUS,Communication Services,Telecom Services,EQUITY
D,Utilities,Utilities - Regulated Electric,EQUITY
DDOG,Technology,Software - Application,EQUITY
EA,Communication Services,Electronic Gaming & Multimedia,EQUITY
VZ,Communication Services,Telecom Services,EQUITY
WMB,Energy,Oil & Gas Midstream,EQUITY
PARA,Communication Services,Entertainment,EQUITY
KEY,Financial Services,Banks - Regional,EQUITY
RF,Financial Services,Banks - Regional,EQUITY
CTVA,Basic Materials,Agricultural Inputs,EQUITY
EXLS,Technology,Information Technology Services,EQUITY
PXD,Energy,Oil & Gas E&P,EQUITY
CELH,Consumer Defensive,Beverages - Non-Alcoholic,EQUITY
HUBB,Industrials,Electrical Equipment & Parts,EQUITY
INST,Technology,Software - Application,EQUITY
FN,Technology,Electronic Components,EQUITY
PODD,Healthcare,Medical Devices,EQUITY
FCFS,Financial Services,Credit Services,EQUITY
SHOP,Technology,Software - Application,EQUITY
NEE,Utilities,Utilities - Regulated Electric,EQUITY
LZAGY,Healthcare,Diagnostics & Research,EQUITY
DBSDY,Financial Services,Banks - Regional,EQUITY
ALB,Basic Materials,Specialty Chemicals,EQUITY
HEI,Industrials,Aerospace & Defense,EQUITY
UMBF,Financial Services,Banks - Regional,EQUITY
